Gryffindor,Slytherin,Ravenclaw,Hufflepuff
-2.867952529663398753e+00,-3.008088383655338038e+00,-2.267145014891747135e+00,-1.794119183968082787e+00
-1.278120629798205288e+00,-1.087166298631422112e+00,1.808477452355414794e-01,2.503086693194241708e+00
1.129899771020541621e+00,-2.369424086126434403e+00,-2.715923926612358041e-01,1.803723665665521780e+00
2.410551800626714314e-01,-9.183675842796686084e-02,2.034822367453605452e+00,-1.922706025825354104e+00
5.035147078258995768e-01,-1.235765761773191251e-01,7.470558979719391646e-01,-7.900951871652740488e-01
-1.277848356190415036e+00,8.260287982980529797e-02,2.246559597908186490e-01,1.151805954765731999e+00
-7.415376486147338964e-02,2.779154739289196319e-01,-4.186000510162803112e-02,2.560776125932736486e-02
-8.256374364019055667e-01,5.307130387101365726e-02,1.641227955871841004e+00,-1.744446960094578003e+00
1.024826407230916336e+00,-1.234630702914409461e+00,7.164254000800479583e-02,-4.125334511961942785e-01
